OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,,X_COORD,Y_COORD
45644,235,Over 200$,1/12/2008,0:01,080006945I,05105 W LEGRANDE AV,SW63,SW,63,,165033.82,1635874.02
45645,235,Over 200$,3/20/2008,0:01,080043792I,09431 BENCHMARK DR,ND72,ND,72,,195852.67,1703400.84
45646,235,Over 200$,3/21/2008,9:00,080043885I,00320 N MERIDIAN ST,DT13,DT,13,,189984.17,1647985
45647,235,Over 200$,3/30/2008,19:00,080049533I,03256 N PENNSYLVANIA ST,ND11,ND,11,,191058.74,1663662.07
45648,235,Over 200$,3/31/2008,11:00,080102229I,03173 MANOR CT,ND22,ND,22,,208772.69,1663214.27
45649,235,Over 200$,4/4/2008,10:30,080061005I,00038 N DELAWARE ST,DT31,DT,31,,190947.47,1646413.76
45650,235,Over 200$,4/5/2008,19:15,080052643I,00633 LOCKERBIE ST,DT22,DT,22,,193185.75,1647886.81
45651,235,Over 200$,4/17/2008,13:30,080058941I,00030 MONUMENT CR,DT13,DT,13,,189851.95,1646557.19
45652,235,Over 200$,4/18/2008,18:00,080059740I,00729 N DREXEL AV,NE53,NE,53,,208678.95,1649827.33
45653,235,Over 200$,4/21/2008,19:10,080061203I,03530 BEAVER CT,NE72,NE,72,,234527.48,1665600.26
45654,235,Over 200$,4/25/2008,18:00,080065442I,05851 ALLISONVILLE RD,ND64,ND,64,,206335.54,1680551.41
45655,235,Over 200$,5/3/2008,0:01,080070700I,03936 HOYT AV,SE13,SE,13,,206474.99,1642612
45656,235,Over 200$,5/3/2008,6:00,080069087I,00300 N WEST ST,DT11,DT,11,,187443.21,1647861.69
45657,235,Over 200$,5/7/2008,18:00,080070791I,04102 N CAPITOL AV,ND42,ND,42,,189055.06,1669334.15
45658,235,Over 200$,5/14/2008,14:45,080074611I,00400 N ARSENAL AV,NE22,NE,22,,196857.99,1648131.19
45659,235,Over 200$,5/20/2008,20:30,080078663I,01832 MILLER ST,SW22,SW,22,,180040.28,1638485.25
45660,235,Over 200$,5/27/2008,11:26,080081793I,00311 E ST CLAIR ST,DT21,DT,21,,191675.47,1650126.86
45661,235,Over 200$,5/28/2008,19:45,080082804I,05625 E WASHINGTON ST,NE54,NE,54,,214238.99,1647420.55
45662,235,Over 200$,5/28/2008,22:00,080103375I,04829 GUILFORD AV,ND53,ND,53,,194481.55,1673402.68
45663,235,Over 200$,5/30/2008,0:01,080086808I,04342 BROADWAY ST,ND43,ND,43,,193204.78,1670907.48
45664,235,Over 200$,5/31/2008,20:30,080084844I,04518 COMMONWEALTH DR,ND62,ND,62,,208995.48,1683742
45665,235,Over 200$,6/2/2008,18:00,080086052I,00050 N ILLINOIS ST,DT13,DT,13,,189424.63,1646603.62
45666,235,Over 200$,6/5/2008,1:00,080087105I,01061 HENSLOW LN,SE22,SE,22,,194925.4,1636700.03
45667,235,Over 200$,6/9/2008,15:00,080089787I,05801 N OLNEY ST,ND64,ND,64,,204245.4,1680153.99
45668,235,Over 200$,6/11/2008,2:45,080090275I,02123 BRAEBURN PW,NE62,NE,62,,228027.68,1657009.69
45669,235,Over 200$,6/11/2008,15:10,080090601I,06552 BIRCHCREST DR,SW82,SW,82,,157091.34,1640709.59
45670,235,Over 200$,6/14/2008,14:22,080092307I,E MICHIGAN ST & N PENNSYLVANIA ST,DT21,DT,21,,190540.61,1648771.8
45671,235,Over 200$,6/14/2008,21:00,080092474I,02730 S LOCKBURN ST,SW64,SW,64,,170319.12,1631214.99
45672,235,Over 200$,6/16/2008,14:00,080093324I,04429 N ILLINOIS ST,ND42,ND,42,,189760.46,1671419.87
45673,235,Over 200$,6/17/2008,1:30,080094122I,00707 MASSACHUSETTS AV,DT22,DT,22,,193111.96,1649627.62
45674,235,Over 200$,6/19/2008,15:00,080095332I,03720 N PENNSYLVANIA ST,ND13,ND,13,,191051.62,1666591.42
45675,235,Over 200$,6/21/2008,1:15,080096353I,00936 N EWING ST,NE24,NE,24,,204772.34,1650861.63
45676,235,Over 200$,6/23/2008,11:10,080097469I,04626 LAUREL CR,ND31,ND,31,,207222.59,1673353.31
45677,235,Over 200$,6/26/2008,21:30,080009979I,00401 N ILLINOIS ST,DT13,DT,13,,189524.41,1648308.38
45678,235,Over 200$,6/27/2008,1:00,080099980I,01112 SHELBY ST,SE11,SE,11,,195039.39,1640742
45679,235,Over 200$,6/28/2008,0:17,080100341I,02725 E MICHIGAN ST,NE23,NE,23,,201401.54,1648837.92
45680,235,Over 200$,6/28/2008,12:00,080100597I,00125 N ALABAMA ST,DT31,DT,31,,191513.57,1646877.32
45681,235,Over 200$,6/28/2008,21:30,080101261I,04236 SUNSET AV,ND42,ND,42,,187044.22,1670170.98
45682,235,Over 200$,6/30/2008,22:30,080101932I,00401 N ILLINOIS ST,DT13,DT,13,,189524.41,1648308.38
45683,235,Over 200$,7/3/2008,1:00,080103657I,06225 N DELAWARE ST,ND52,ND,52,,191384.61,1683168.22
45684,235,Over 200$,7/3/2008,17:00,080103574I,00765 ARNOLDA AV,SW11,SW,11,,175509.45,1650001.72
45685,235,Over 200$,7/4/2008,16:00,080104040I,05333 LUNSFORD CR,SE43,SE,43,,214464.95,1618061.92
45686,235,Over 200$,7/6/2008,21:00,080105729I,05604 OLIVE BRANCH WY,SE43,SE,43,,220222.09,1616946.9
45687,235,Over 200$,7/11/2008,21:00,080110421I,02916 CARNABY ST,NE73,NE,73,,233051.91,1661656.87
45688,235,Over 200$,7/14/2008,6:00,080111200I,04804 WINTHROP AV,ND53,ND,53,,194826.88,1673274.61
45689,235,Over 200$,7/14/2008,20:00,080110576I,00401 N ILLINOIS ST,DT13,DT,13,,189524.41,1648308.38
45690,235,Over 200$,7/16/2008,13:37,080110921I,02846 N LASALLE ST,NE14,NE,14,,203275.98,1660987.18
45691,235,Over 200$,7/17/2008,20:00,080112033I,06780 W WASHINGTON ST,SW82,SW,82,,156212.82,1638176.55
45692,235,Over 200$,7/19/2008,15:30,080112802I,05640 N ILLINOIS ST,ND53,ND,53,,189696.2,1678556.94
45693,235,Over 200$,7/20/2008,0:01,080113084I,00749 N PARK AV,DT22,DT,22,,193027.64,1649883.07
45694,235,Over 200$,7/20/2008,9:00,080114830I,08311 BRAEBURN N DR,NE62,NE,62,,228379.76,1657804.55
45695,235,Over 200$,7/20/2008,15:30,080113453I,09146 KENWOOD DR,ND71,ND,71,,188664.16,1702075.88
45696,235,Over 200$,7/21/2008,19:38,080114115I,03061 N COLLEGE AV,ND11,ND,11,,193746.03,1662377.58
45697,235,Over 200$,7/21/2008,23:15,080114599I,04421 FARNSWORTH ST,SW64,SW,64,,168043.69,1630744.09
45698,235,Over 200$,7/23/2008,15:00,080115335I,00261 E MINNESOTA ST,SE21,SE,21,,191406.96,1637972.34
45699,235,Over 200$,7/23/2008,23:00,080115881I,00555 MASSACHUSETTS AV,DT21,DT,21,,192369.4,1648970.64
45700,235,Over 200$,7/24/2008,0:01,080116604I,01648 SPANN AV,SE11,SE,11,,197410.29,1643195.9
45701,235,Over 200$,7/30/2008,15:00,080120989I,00231 FULTON ST,DT31,DT,31,,193849.1,1647337.18
45702,235,Over 200$,7/31/2008,14:45,080120324I,08250 OAKLANDON RD,ND63,ND,63,,246576.45,1696788.74
45703,235,Over 200$,8/4/2008,11:30,080122417I,01601 E MICHIGAN ST,NE22,NE,22,,197277.67,1648806.91
45704,235,Over 200$,8/4/2008,19:00,080123438I,05127 VICTORIA RD,NW62,NW,62,,174038.6,1674862.63
45705,235,Over 200$,8/6/2008,19:26,080124083I,00650 N MERIDIAN ST,DT12,DT,12,,190040.17,1649538.84
45706,235,Over 200$,8/8/2008,7:45,080124954I,00038 KESSLER BLVD EDR,ND52,ND,52,,190706.82,1681254.38
45707,235,Over 200$,8/8/2008,23:00,080125673I,08322 LAKE SHORE TRL EDR,ND62,ND,62,,210810.69,1697382.47
45708,235,Over 200$,8/10/2008,12:00,080127957I,00900 N ALABAMA ST,DT21,DT,21,,191605.25,1650583.46
