OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
47916,235,Over 200$,12/11/2008,4:00,080195086I,05333 LUNSFORD CR,SE43,SE,43,214464.95,1618061.92
47917,235,Over 200$,1/5/2009,15:00,090002163I,05924 WESTBURY NDR,SW61,SW,61,160129.48,1650221.6
47918,235,Over 200$,1/5/2009,18:00,090002180I,05940 MANNING RD,NW61,NW,61,173079.31,1680891.81
47919,235,Over 200$,1/18/2009,1:02,090007988I,E NEW YORK ST & N RANDOLPH ST,NE22,NE,22,198310.16,1647649.26
47920,235,Over 200$,1/18/2009,2:00,090008185I,00042 E 36TH ST,ND13,ND,13,190687.84,1665963.21
47921,235,Over 200$,3/7/2009,19:00,090031914I,03029 E 10TH ST,NE24,NE,24,202371.34,1651345.43
47922,235,Over 200$,3/15/2009,22:30,090035887I,05817 KAYSER CT,ND31,ND,31,220007.93,1680349.05
47923,235,Over 200$,3/18/2009,20:11,090037478I,02716 N BUTLER AV,NE33,NE,33,211961.86,1660902.62
47924,235,Over 200$,3/20/2009,21:00,090038502I,08400 WESTFIELD RD,ND72,ND,72,196722.62,1697827.56
47925,235,Over 200$,3/21/2009,7:00,090042605I,02323 GUILFORD AV,NE13,NE,13,194568.63,1658161.45
47926,235,Over 200$,3/23/2009,15:43,090039945I,01152 N WHITCOMB AV,NW73,NW,73,162352.37,1651916.87
47927,235,Over 200$,4/9/2009,3:17,090050981I,00222 E MICHIGAN ST,DT21,DT,21,191261.92,1648766.08
47928,235,Over 200$,4/20/2009,22:00,090058562I,03732 OIL CREEK DR,NW82,NW,82,171609.64,1695634.5
47929,235,Over 200$,4/22/2009,12:00,090056020I,05612 E WASHINGTON ST,NE54,NE,54,214175.11,1647456.79
47930,235,Over 200$,5/10/2009,0:01,090065826I,08705 JOHNS DR,NW72,NW,72,145901.82,1666442.83
47931,235,Over 200$,5/10/2009,4:30,090071369I,E MICHIGAN ST & N RANDOLPH ST,NE22,NE,22,198296.73,1648830
47932,235,Over 200$,5/10/2009,18:04,090065929I,02354 COLLIER ST,SW64,SW,64,169322.75,1633573.64
47933,235,Over 200$,5/11/2009,12:13,090066285I,05420 E 38TH ST,ND33,ND,33,212993.85,1667398.99
47934,235,Over 200$,5/18/2009,1:00,090070414I,02442 DAWSON ST,SE24,SE,24,198347.1,1634031.61
47935,235,Over 200$,5/18/2009,15:00,090070550I,05625 E WASHINGTON ST,NE54,NE,54,214238.99,1647420.55
47936,235,Over 200$,5/18/2009,21:00,090070696I,05618 GEORGETOWN RD,NW61,NW,61,167075.57,1677943.86
47937,235,Over 200$,5/20/2009,17:00,090072094I,00435 VIRGINIA AV,DT34,DT,34,192626.5,1643773.2
47938,235,Over 200$,5/20/2009,17:00,090072091I,00435 VIRGINIA AV,DT34,DT,34,192626.5,1643773.2
47939,235,Over 200$,5/21/2009,10:31,090072183I,03913 DELMONT DR,NE72,NE,72,236672.74,1668693.01
47940,235,Over 200$,5/24/2009,4:30,090075432I,02030 W WASHINGTON ST,SW13,SW,13,179291.62,1646040.75
47941,235,Over 200$,5/24/2009,15:30,090073969I,00015 BEACHWAY DR,SW61,SW,61,161083.89,1645782.45
47942,235,Over 200$,5/27/2009,13:50,090075568I,05600 N ILLINOIS ST,ND53,ND,53,189699.04,1677933.22
47943,235,Over 200$,5/29/2009,14:30,090076775I,01704 PROSPECT ST,SE12,SE,12,197645.88,1640862.89
47944,235,Over 200$,6/1/2009,21:00,090078867I,00902 N BANCROFT ST,NE53,NE,53,210595.23,1650934.33
47945,235,Over 200$,6/2/2009,14:13,090078801I,01635 N PENNSYLVANIA ST,NE11,NE,11,190610.79,1654137.52
47946,235,Over 200$,6/4/2009,22:00,090080244I,01000 N BOSART AV,NE53,NE,53,208936.45,1651387.28
47947,235,Over 200$,6/5/2009,2:07,090080332I,02744 COLLIER ST,SW64,SW,64,169313.48,1631123.81
47948,235,Over 200$,6/5/2009,8:30,090080513I,04260 W VERMONT ST,SW11,SW,11,168649,1648044.78
47949,235,Over 200$,6/5/2009,15:55,090080662I,00040 E ST CLAIR ST,DT21,DT,21,190287.76,1650220.17
47950,235,Over 200$,6/6/2009,3:00,090082958I,06953 N COLLEGE AV,ND71,ND,71,193631.83,1687564.53
47951,235,Over 200$,6/7/2009,22:50,090081994I,00223 S EMERSON AV,NE54,NE,54,211062.8,1645875.22
47952,235,Over 200$,6/8/2009,6:50,090082076I,00401 KENTUCKY AV,DT34,DT,34,187337.59,1644246.75
47953,235,Over 200$,6/9/2009,1:00,090083469I,05028 S WALCOTT ST,SE51,SE,51,198380.87,1618646.8
47954,235,Over 200$,6/10/2009,14:30,090083656I,05419 BROADWAY ST,ND53,ND,53,192990.02,1676922.44
47955,235,Over 200$,6/11/2009,17:30,090084235I,02630 E STOP 11 RD,SE54,SE,54,201044.75,1603644.44
47956,235,Over 200$,6/11/2009,18:20,090084223I,02550 W MICHIGAN ST,SW12,SW,12,177230.79,1649081.81
47957,235,Over 200$,6/13/2009,23:00,090085722I,06609 TWIN BROOKS DR,SE52,SE,52,200634.41,1610998.62
47958,235,Over 200$,6/14/2009,1:30,090085859I,06220 HARDEGAN ST,SE52,SE,52,198896.59,1613358.09
47959,235,Over 200$,6/15/2009,1:00,090089753I,10662 REGIS CT,NE64,NE,64,240391.2,1646863.97
47960,235,Over 200$,6/16/2009,14:00,090086961I,05829 GRANNER DR,SW72,SW,72,160629.48,1609559.94
47961,235,Over 200$,6/16/2009,21:00,090087230I,07116 SHREWSBURY LN,ND74,ND,74,179481.04,1688356.84
47962,235,Over 200$,6/19/2009,22:00,090089105I,01013 W 29TH ST,NW12,NW,12,184306.26,1661250.88
47963,235,Over 200$,6/20/2009,14:00,090089704I,02610 WESTBROOK AV,SW64,SW,64,166855.04,1631990.34
47964,235,Over 200$,6/20/2009,18:00,090089566I,02657 S MCCLURE ST,SW64,SW,64,170683.26,1631703.33
47965,235,Over 200$,6/21/2009,20:00,090090172I,04066 N COLLEGE AV,ND43,ND,43,193697.8,1669098.19
47966,235,Over 200$,6/22/2009,2:00,090089985I,04224 E WASHINGTON ST,NE51,NE,51,207435.84,1647050.62
47967,235,Over 200$,6/23/2009,3:45,090090519I,00441 ORANGE ST,SE21,SE,21,192041.15,1639926.26
47968,235,Over 200$,6/23/2009,15:00,090090826I,01605 ASBURY ST,SE23,SE,23,197959.04,1638573.31
47969,235,Over 200$,6/24/2009,9:00,090091982I,04234 VENICE CT,NE72,NE,72,232852.96,1670489.76
47970,235,Over 200$,6/24/2009,15:55,090091357I,E 30TH ST & N COLLEGE AV,ND11,ND,11,193723.35,1661973.36
47971,235,Over 200$,6/26/2009,12:00,090094081I,00969 HOSBROOK ST,SE11,SE,11,194306.9,1642103.81
47972,235,Over 200$,6/28/2009,16:12,090093390I,01050 BROAD RIPPLE AV,ND52,ND,52,195139.97,1683608.32
47973,235,Over 200$,6/29/2009,19:00,090095763I,07846 TAUNTON RD,ND71,ND,71,184765.03,1693497.98
47974,235,Over 200$,6/30/2009,22:00,090095021I,06364 WHITEHAVEN RD,NW31,NW,31,158208.06,1672473.25
47975,235,Over 200$,7/3/2009,14:00,090097701I,W 16TH ST & N BELLEVIEW PL,NW21,NW,21,177399.28,1653910.2
47976,235,Over 200$,7/5/2009,21:00,090097584I,05326 COTTON BAY DR W,NW31,NW,31,157407.65,1675805.36
47977,235,Over 200$,7/6/2009,14:30,090097768I,04936 DEBORAH ST,NW33,NW,33,166203.27,1664166.17
47978,235,Over 200$,7/6/2009,20:00,090097433I,05512 RAWLES TE,NE54,NE,54,213765.92,1644714.27
47979,235,Over 200$,7/7/2009,0:01,090098198I,01750 1/2 W MORRIS ST,SW22,SW,22,180555.31,1640498.44
47980,235,Over 200$,7/7/2009,21:00,090099338I,03965 N MERIDIAN ST,ND43,ND,43,190425.33,1668101.29
47981,235,Over 200$,7/7/2009,21:50,090098573I,02450 SHELBY ST,SE22,SE,22,195031.26,1633719.02
47982,235,Over 200$,7/8/2009,20:00,090100380I,06278 BROOKLINE DR,ND62,ND,62,208725.49,1683757.39
47983,235,Over 200$,7/8/2009,20:00,090099430I,03263 N NEW JERSEY ST,ND11,ND,11,192089.4,1663713.2
47984,235,Over 200$,7/12/2009,12:00,090101301I,04911 WINTHROP AV,ND53,ND,53,194731.65,1673854.83
47985,235,Over 200$,7/14/2009,22:00,090102725I,03646 GRACELAND AV,ND12,ND,12,188713.51,1666230.2
47986,235,Over 200$,7/15/2009,15:00,090110213I,07935 BROOKVILLE RD,SE41,SE,41,226736.97,1639851.34
47987,235,Over 200$,7/15/2009,17:30,090103051I,01221 N DEARBORN ST,NE21,NE,21,203213.86,1652470.3
47988,235,Over 200$,7/16/2009,0:01,090103639I,00410 N AUDUBON RD,NE54,NE,54,214756.11,1648993.76
47989,235,Over 200$,7/16/2009,2:50,090103290I,05217 MECCA ST,SW63,SW,63,164275.12,1635614.47
47990,235,Over 200$,7/17/2009,10:52,090104072I,03625 SPANN AV,SE13,SE,13,204974.73,1643213.31
47991,235,Over 200$,7/18/2009,0:01,090108136I,05932 BONNEVILLE WY,SE43,SE,43,218327.72,1615038.17
47992,235,Over 200$,7/18/2009,23:00,090105160I,08865 WESTFIELD WY,ND72,ND,72,197726.69,1701190.17
47993,235,Over 200$,7/20/2009,7:30,090106450I,04810 WINTHROP AV,ND53,ND,53,194826.81,1673307.59
47994,235,Over 200$,7/20/2009,15:00,090105790I,E 86TH ST & WESTFIELD RD,ND72,ND,72,197058.9,1699159.93
47995,235,Over 200$,7/21/2009,12:30,090108702I,05356 EVANSTON AV,ND51,ND,51,198498.07,1676594.79
47996,235,Over 200$,7/22/2009,22:00,090107225I,02164 N CAPITOL AV,NW13,NW,13,189033.29,1656967.65
47997,235,Over 200$,7/24/2009,16:30,090108044I,00225 S STATE AV,SE12,SE,12,197684.27,1644831.72
47998,235,Over 200$,7/26/2009,12:49,090109039I,04130 W VERMONT ST,SW11,SW,11,169482.59,1648069.05
47999,235,Over 200$,7/26/2009,18:00,090109229I,06102 N RURAL ST,ND52,ND,52,201506.7,1682438.12
48000,235,Over 200$,7/30/2009,15:30,090111719I,05735 WOODCOTE DR,SW71,SW,71,161024.78,1607179.19
48001,235,Over 200$,7/31/2009,14:00,090112474I,00001 VIRGINIA AV,DT32,DT,32,190448.34,1646092.18
48002,235,Over 200$,8/3/2009,20:00,090113875I,00110 W WASHINGTON ST,DT13,DT,13,189374.11,1646271.04
48003,235,Over 200$,8/4/2009,21:45,090114461I,00048 E WASHINGTON ST,DT31,DT,31,190314.71,1646240.7
48004,235,Over 200$,8/5/2009,22:00,090115658I,01130 CHURCHMAN AV,SE12,SE,12,199380.61,1640683.1
48005,235,Over 200$,8/7/2009,13:00,090116131I,01801 NOWLAND AV,NE21,NE,21,198340.94,1652774.84
48006,235,Over 200$,8/8/2009,1:00,090118197I,00512 E MINNESOTA ST,SE21,SE,21,192393.61,1638113.74
48007,235,Over 200$,8/8/2009,10:30,090116555I,09250 EVERGREEN AV,ND72,ND,72,195372.37,1702481.28
48008,235,Over 200$,8/8/2009,12:00,090117638I,00220 N MERIDIAN ST,DT13,DT,13,189959.39,1647378.6
48009,235,Over 200$,8/8/2009,15:00,090116675I,07115 LOCKWOOD LN,SW74,SW,74,188584.04,1608135.02
48010,235,Over 200$,8/8/2009,19:00,090116760I,02832 EL LAGO N DR,SE32,SE,32,201967.27,1624460.64
48011,235,Over 200$,8/9/2009,8:00,090117209I,00555 MIDDLE DR WOODRUF PL,NE22,NE,22,198303.32,1649110.79
48012,235,Over 200$,8/9/2009,17:00,090118792I,00410 N AUDUBON RD,NE54,NE,54,214756.11,1648993.76
48013,235,Over 200$,8/9/2009,20:00,090119650I,01804 E 69TH ST,ND62,ND,62,198018.86,1687428.17
48014,235,Over 200$,8/10/2009,11:28,090117546I,00809 E 16TH ST,NE12,NE,12,194202.72,1653985.29
48015,235,Over 200$,8/10/2009,14:00,090117654I,06350 GUILFORD AV,ND52,ND,52,194398.64,1684302
48016,235,Over 200$,8/11/2009,14:45,090118242I,06520 CORNELL AV,ND52,ND,52,194531.32,1685096.22
48017,235,Over 200$,8/11/2009,22:00,090118493I,10450 E WASHINGTON ST,NE63,NE,63,239592.28,1649022.01
48018,235,Over 200$,8/12/2009,1:00,090118727I,00030 S EWING ST,SE13,SE,13,204862.69,1646679.15
48019,235,Over 200$,8/12/2009,8:25,090118668I,01020 BROAD RIPPLE AV,ND52,ND,52,194914.75,1683615.38
48020,235,Over 200$,8/12/2009,9:30,090118696I,00543 WOODRUFF PL WDR,NE22,NE,22,197866.65,1649064.15
48021,235,Over 200$,8/12/2009,23:00,090119277I,00731 N PARK AV,DT22,DT,22,193026.55,1649787.92
48022,235,Over 200$,8/13/2009,12:45,090119405I,05730 E WASHINGTON ST,NE54,NE,54,214839.58,1647496.6
48023,235,Over 200$,8/14/2009,12:00,090122517I,06128 GEORGETOWN RD,NW61,NW,61,165776.56,1682298.27
