,DATE_year,DATE_month,DATE_week,DATE_day,Hour,Minute,Temp(K),Humidity%,Pressure(atm),wind,Description,disposition
0,2012,10,40,4,20,00,293.31,56.0,1017.0,7.0,0,0
1,2012,10,40,4,23,00,291.82,68.0,1017.0,3.0,13,2
2,2012,10,40,5,0,01,289.74,63.0,1018.0,3.0,13,0
3,2012,10,41,10,14,00,281.87,66.0,1020.0,2.0,2,2
4,2012,10,42,15,12,30,292.15,82.0,1009.0,8.0,7,0
5,2012,10,42,17,21,30,291.65,45.0,1007.0,4.0,14,3
6,2012,10,42,19,19,25,288.74,44.0,1001.0,6.0,0,3
7,2012,10,42,20,22,20,281.8,93.0,1003.0,6.0,11,0
8,2012,10,42,21,13,05,280.56,93.0,1008.0,3.0,11,1
9,2012,10,42,21,22,00,285.75,66.0,1012.0,4.0,11,5
10,2012,10,43,22,6,45,277.85,93.0,1016.0,0.0,9,0
11,2012,10,43,24,18,00,290.52,77.0,1017.0,0.0,0,1
12,2012,10,43,25,9,00,288.23,72.0,1017.0,2.0,2,1
13,2012,10,43,25,17,00,296.16,60.0,1017.0,4.0,13,0
14,2012,11,44,1,0,01,277.51,86.0,1007.0,8.0,1,1
15,2012,11,45,6,18,55,279.54,60.0,1021.0,3.0,13,1
16,2012,11,46,13,0,01,290.21,51.0,1015.0,8.0,11,3
17,2012,11,46,14,17,00,275.48,47.0,1033.0,3.0,14,0
18,2012,11,46,14,21,50,277.21,44.0,1031.0,2.0,14,5
19,2012,11,47,25,13,00,270.15,68.0,1024.0,4.0,11,0
20,2012,11,48,27,0,01,277.78,60.0,1014.0,2.0,11,0
21,2012,11,48,28,12,00,270.22,92.0,1026.0,2.0,9,2
22,2012,11,48,29,12,30,269.52,79.0,1027.0,3.0,14,1
23,2012,11,48,29,13,40,270.63,79.0,1028.0,3.0,4,2
24,2012,12,48,1,13,00,277.78,64.0,1021.0,3.0,13,2
25,2012,12,49,4,8,00,288.42,100.0,1019.0,2.0,7,0
26,2012,12,49,6,17,06,278.07,69.0,1029.0,2.0,13,2
27,2012,12,49,7,23,00,281.34,70.0,1016.0,2.0,11,2
28,2012,12,50,10,16,00,280.26,100.0,1012.0,5.0,7,0
29,2012,12,50,14,18,00,280.32,45.0,1027.0,3.0,13,1
30,2012,10,40,1,13,00,283.85,76.0,1011.0,4.0,11,1
31,2012,10,40,4,18,30,291.27,63.0,1017.0,5.0,0,3
32,2012,10,40,4,22,30,293.37,52.0,1017.0,4.0,13,0
33,2012,10,40,5,11,00,285.29,87.0,1021.0,2.0,0,0
34,2012,10,40,5,12,00,286.22,82.0,1021.0,2.0,0,1
35,2012,10,40,6,10,30,284.64,76.0,1021.0,4.0,11,2
36,2012,10,40,7,15,00,279.86,65.0,1021.0,4.0,0,5
37,2012,10,41,8,17,00,281.845,28.0,1022.0,4.0,11,1
38,2012,10,41,9,0,01,278.56,60.0,1022.0,0.0,2,3
39,2012,10,41,9,21,00,285.45,40.0,1020.0,3.0,2,0
40,2012,10,41,12,21,00,287.45,44.0,1021.0,6.0,2,2
41,2012,10,41,13,11,45,280.86,81.0,1026.0,4.0,2,4
42,2012,10,41,14,12,00,282.15,66.0,1023.0,2.0,11,5
43,2012,10,42,15,12,00,292.15,82.0,1009.0,8.0,7,3
44,2012,10,42,15,18,30,295.505,58.0,1005.0,11.0,0,5
45,2012,10,42,15,22,00,294.56,56.0,1004.0,9.0,0,5
46,2012,10,42,16,17,00,286.15,58.0,1014.0,5.0,14,2
47,2012,10,42,18,4,00,288.39,62.0,1007.0,4.0,0,5
48,2012,10,42,19,6,30,287.02,93.0,998.0,7.0,7,1
49,2012,10,42,19,9,00,284.33,87.0,998.0,5.0,7,1
50,2012,10,42,19,20,30,288.56,31.0,1002.0,10.0,0,5
51,2012,10,42,20,18,00,281.83,87.0,1001.0,5.0,9,1
52,2012,10,43,22,12,00,279.54333330000003,92.0,1018.0,2.0,14,5
53,2012,10,43,24,16,31,288.57,87.0,1018.0,0.0,10,1
