OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
82869,235,Over 200$,1/20/2014,21:00,D140006680A,540 E MARKET ST,DT20,192872.66,1646670.23
82870,235,Over 200$,1/24/2014,15:00,D140009234A,339 S DELAWARE ST,DT40,190900.61,1644401.4
82871,235,Over 200$,2/19/2014,22:00,D140018047A,1506 ENGLISH AVE,SE10,196775.52,1643506.73
82872,235,Over 200$,3/10/2014,21:38,D140025223A,50 W WASHINGTON ST,DT10,189693.59,1646256.12
82873,235,Over 200$,3/19/2014,8:56,D140029438A,111 E 16TH ST,NE10,190787.55,1653890.7
82874,235,Over 200$,4/2/2014,13:24,D140034141A,334 N SENATE AV,DT10,188376.87,1648256.5
82875,235,Over 200$,4/5/2014,18:00,D140035640A,5810 CARVEL AV,ND50,195220.81,1679757.57
82876,235,Over 200$,4/6/2014,21:15,D140035821A,1431 HIATT ST,SW20,179399.13,1638908.09
82877,235,Over 200$,4/9/2014,14:27,D140036873A,701 N COLORADO AV,NE50,207691.89,1649598.96
82878,235,Over 200$,4/9/2014,21:30,D140037327A,3979 WIND DRIFT DR E,NW70,153401.42,1668114.43
82879,235,Over 200$,4/10/2014,12:01,D140037375A,720 ESKENAZI AV,DT10,182988.18,1649923.33
82880,235,Over 200$,4/16/2014,16:13,D140041599A,210 E MICHIGAN ST,DT20,191143.65,1648770.23
82881,235,Over 200$,4/18/2014,19:30,D140042130A,1115 N DEQUINCY ST,NE50,209828.34,1651796.08
82882,235,Over 200$,4/19/2014,23:00,D140041684A,1201 INDIANA AVE,NW10,184127.03,1652330.23
82883,235,Over 200$,4/26/2014,18:30,D140043707A,N CAPITOL & W 10TH,DT10,189096.08,1651320.58
82884,235,Over 200$,4/29/2014,19:04,D140045293A,810 BLAKE ST,DT10,185718.29,1650443.77
82885,235,Over 200$,5/1/2014,12:00,D140048321A,4465 MARCY LN,ND10,196734.56,1672134.47
82886,235,Over 200$,5/1/2014,16:37,D140045677A,1201 INDIANA AVE,NW10,184127.03,1652330.23
82887,235,Over 200$,5/4/2014,12:41,D140046666A,111 E 16TH ST,NE10,190787.55,1653890.7
82888,235,Over 200$,5/6/2014,22:02,D140047606A,2544 EXECUTIVE DR,SW60,162162,1632871.43
82889,235,Over 200$,5/6/2014,99:99,D140049756A,402 W NEW YORK ST,DT10,187930.18,1647861.43
82890,235,Over 200$,5/7/2014,4:30,D140077690A,132 W WALNUT ST,DT10,189265.17,1649813.97
82891,235,Over 200$,5/7/2014,12:00,D140048072A,1840 MARIAN DR,ND70,198551.34,1701963.8
82892,235,Over 200$,5/10/2014,10:00,D140075415A,6520 CORNELL AVE,ND50,194534.39,1685094.44
82893,235,Over 200$,5/10/2014,23:00,D140051412A,8314 ANDRUSIA LN,SE50,206265.25,1602189.15
82894,235,Over 200$,5/11/2014,99:99,D140049673A,3532 HEARTHSTONE CT,SE50,204615.45,1604623.41
82895,235,Over 200$,5/13/2014,22:00,D140050447A,7390 HOLLIDAY DR E,ND70,189120.67,1690445.96
82896,235,Over 200$,5/16/2014,10:00,D140051289A,8520 NORTHWEST BL,NW80,159867.08,1698101.01
82897,235,Over 200$,5/17/2014,22:00,D140051958A,37 W ST CLAIR ST,DT10,189800.28,1650195.99
82898,235,Over 200$,5/18/2014,18:00,D140053323A,451 E MARKET ST,DT20,192257.6,1646659.54
82899,235,Over 200$,5/19/2014,9:35,D140052214A,2426 VILLA AV,SE20,199103.53,1634101.67
82900,235,Over 200$,5/22/2014,17:23,D140053630A,4440 MARCY LN,ND10,196694.32,1672005.27
82901,235,Over 200$,5/23/2014,9:30,D140053888A,4300 CENTRAL AVE,ND10,192376.37,1670547.02
82902,235,Over 200$,5/23/2014,14:37,D140054016A,8972 E 10TH ST,NE60,231435.18,1651489.51
82903,235,Over 200$,5/23/2014,19:00,D140054385A,307 S DELAWARE ST,DT40,190906.61,1644574.05
82904,235,Over 200$,5/25/2014,9:46,D140054646A,5602 S KEYSTONE AVE,SE30,200345.61,1616291.36
82905,235,Over 200$,5/25/2014,12:00,D140054943A,6802 WALNUT BEND RD,NW80,155540.91,1677271.5
82906,235,Over 200$,5/26/2014,18:00,D140055139A,1611 BROADWAY ST,NE10,193327.16,1654122.19
82907,235,Over 200$,5/30/2014,16:30,D140058433A,405 CANAL VIEW,DT10,187849.32,1649710.67
82908,235,Over 200$,6/1/2014,16:53,D140057394A,1141 E MARKET ST,NE20,195475.59,1646466.13
82909,235,Over 200$,6/1/2014,99:99,D140105071A,5417 ARMSTRONG CT,SE40,214202.26,1617609.98
82910,235,Over 200$,6/5/2014,19:00,D140061771A,26 W WASHINGTON ST,DT10,189645.6,1646327.01
82911,235,Over 200$,6/9/2014,0:30,D140060263A,816 CAMP ST,DT10,186592.76,1650425.78
82912,235,Over 200$,6/9/2014,17:10,D140060480A,550 E MARKET ST,DT20,192891.59,1646664.58
82913,235,Over 200$,6/11/2014,21:00,D140062258A,8133 SIEAR TER,SE50,201027.09,1602940.26
82914,235,Over 200$,6/11/2014,22:00,D140068796A,2625 N MERIDIAN ST,ND10,190742.49,1660166.77
82915,235,Over 200$,6/14/2014,4:00,D140064976A,1 W VERMONT ST,DT10,190008.67,1648263.65
82916,235,Over 200$,6/15/2014,20:27,D140062970A,9204 ROCHELLE DR,NE70,232936.78,1665282.69
82917,235,Over 200$,6/15/2014,21:57,D140062992A,2202 N DELAWARE ST,NE10,191240.6,1657347.32
82918,235,Over 200$,6/16/2014,12:00,D140063672A,2345 PAGODA DR,SE20,192439.83,1633790.03
82919,235,Over 200$,6/17/2014,22:00,D140063948A,1402 E 52ND ST,ND50,196533.55,1675535.5
82920,235,Over 200$,6/18/2014,20:00,D140064865A,817 N TUXEDO ST,NE20,204082.15,1650158.92
82921,235,Over 200$,6/19/2014,16:33,D140064531A,E 38TH ST & N SHERMAN DR,ND20,205609.55,1667366.98
82922,235,Over 200$,6/21/2014,18:47,D140065322A,6290 N COLLEGE AVE,ND50,193483.72,1683592.92
82923,235,Over 200$,6/21/2014,19:30,D140065407A,2038 S DELAWARE ST,SE20,190588.02,1636223.67
82924,235,Over 200$,6/22/2014,18:00,D140067127A,630 E 51ST ST,ND50,193172.13,1674630.24
82925,235,Over 200$,6/25/2014,11:46,D140066774A,1737 S DREXEL AVE,SE10,208718.92,1637885.81
82926,235,Over 200$,6/27/2014,13:00,D140067804A,2265 N TIBBS AVE,NW20,173749.75,1657291.37
82927,235,Over 200$,6/28/2014,11:00,D140067958A,1020 BROAD RIPPLE AVE,ND50,194901.24,1683615.73
82928,235,Over 200$,7/1/2014,15:00,D140069792A,200 S BUTLER AVE,NE50,212058.91,1646129.92
82929,235,Over 200$,7/2/2014,9:45,D140069604A,302 W WASHINGTON ST,DT10,187926.83,1646612.82
82930,235,Over 200$,7/4/2014,15:00,D140070253A,W NEW YORK ST & N ILLINOIS ST,DT10,189485.57,1647788.47
82931,235,Over 200$,7/9/2014,8:57,D140071880A,7155 ROSSDALE PL,SW70,154031.18,1616600.35
82932,235,Over 200$,7/10/2014,18:45,D140072515A,719 VIRGINIA AV,DT40,193522.72,1642628.93
82933,235,Over 200$,7/12/2014,10:30,D140073077A,5106 KINGSLEY DR,ND50,197891.87,1674734.67
82934,235,Over 200$,7/12/2014,10:45,D140073088A,3553 FOUNDERS RD,ND70,172516.71,1699559.3
82935,235,Over 200$,7/16/2014,8:30,D140080447A,2424 N NEW JERSEY ST,NE10,192060.1,1658811.02
82936,235,Over 200$,7/16/2014,21:30,D140075520A,230 E 9TH ST,DT20,191267.78,1650601.65
82937,235,Over 200$,7/18/2014,13:00,D140075529A,5640 N ILLINOIS ST,ND50,189559.66,1678022.27
82938,235,Over 200$,7/19/2014,20:00,D140076106A,1401 N MERIDIAN ST,NE10,190324.65,1653174.44
82939,235,Over 200$,7/22/2014,17:00,D140077103A,100 W WASHINGTON ST,DT30,189434.02,1646244.01
82940,235,Over 200$,7/23/2014,7:30,D140077211A,1326 LINDEN ST,SE10,195844.56,1639797.66
82941,235,Over 200$,7/23/2014,23:46,D140077534A,1140 LONGWELL LN,ND70,195604,1704307.1
82942,235,Over 200$,7/24/2014,10:00,D140077977A,944 N LASALLE ST,NE20,203528.59,1650989.13
82943,235,Over 200$,7/24/2014,13:30,D140077748A,1645 N BELLEVIEW PL,NW20,177418.9,1654299.31
82944,235,Over 200$,7/26/2014,16:30,D140079253A,2502 SHELBY ST,SE20,195031.69,1633440.16
82945,235,Over 200$,7/27/2014,0:05,D140078761A,3731 BLUFF RD,SW50,186496.08,1625956.32
82946,235,Over 200$,7/28/2014,0:00,D140079023A,3554 SHELBY ST,SE30,195057.29,1626973.15
82947,235,Over 200$,7/28/2014,12:00,D140081600A,233 E ST JOSEPH ST,DT20,191415.55,1650940.26
