OBJECTID,ID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
27751,27751,235,Over 200$,10/16/2016,13:00,D160125305A,430 S ALABAMA ST,DT40,191135.01,1643888.26
27752,27752,235,Over 200$,10/16/2016,15:00,D160125356A,140 S COLLEGE AVE,DT40,193283.81,1645208.15
27753,27753,235,Over 200$,1/8/2017,14:40,D170003197A,327 E MICHIGAN ST,DT25,191702.38,1648693.42
27754,27754,235,Over 200$,1/9/2017,1:00,D170003335A,4533 KESSLER LN E DR E,ND50,208482.96,1681336.89
27755,27755,235,Over 200$,1/13/2017,7:55,D170004848A,2904 S PENNSYLVANIA ST,SE20,190289.66,1630557.12
27756,27756,235,Over 200$,1/15/2017,18:30,D170006490A,530 E OHIO ST,DT20,192832.52,1647306.46
27757,27757,235,Over 200$,1/21/2017,22:32,D170008552A,331 W WALNUT ST,DT10,188187.65,1649749.46
27758,27758,235,Over 200$,1/30/2017,8:04,D170016355A,25 N NEW JERSEY ST,DT20,192022.59,1646291.91
27759,27759,235,Over 200$,1/31/2017,10:00,D170013345A,3824 N ILLINOIS ST,ND10,189704.94,1667409.17
27760,27760,235,Over 200$,2/10/2017,15:04,D170016494A,CHURCHMAN AVE,SE20,199429.78,1638174.85
27761,27761,235,Over 200$,2/18/2017,9:00,D170029738A,451 E MARKET ST,DT20,192253.4,1646630.32
27762,27762,235,Over 200$,2/19/2017,18:00,D170020313A,10851 CEDAR PINE DR,NE70,241537.12,1666349.99
27763,27763,235,Over 200$,2/22/2017,8:00,D170021249A,251 E CAVEN ST,SE20,191481.59,1637267.73
27764,27764,235,Over 200$,2/22/2017,13:15,D170021084A,1217 E 16TH ST,NE10,195752.95,1653904.67
27765,27765,235,Over 200$,3/1/2017,21:00,D170024195A,925 GREER ST,DT40,192757.54,1641641.98
27766,27766,235,Over 200$,3/2/2017,19:00,D170024607A,875 MASSACHUSETTS AVE,DT20,194344.95,1650584.84
27767,27767,235,Over 200$,3/18/2017,16:57,D170032773A,611 SPRING ST,DT25,193789.04,1649267.96
27768,27768,235,Over 200$,3/26/2017,11:00,D170033089A,3145 CHADWOOD LANE N DR,ND70,174222.93,1697482.83
27769,27769,235,Over 200$,3/30/2017,14:29,D170034519A,4884 DAWN DR,NW60,166371.55,1685703.9
27770,27770,235,Over 200$,4/1/2017,16:00,D170035322A,40 E ST CLAIR ST,DT20,190346.38,1650414.59
27771,27771,235,Over 200$,4/2/2017,20:50,D170035718A,756 CARLYLE PL,NE50,209178.64,1650269.02
27772,27772,235,Over 200$,4/9/2017,11:14,D170038235A,707 E NORTH ST N,DT25,193639.53,1649177.67
27773,27773,235,Over 200$,4/10/2017,16:32,D170042389A,42 VIRGINIA AVE,DT40,190822.63,1645902.66
27774,27774,235,Over 200$,4/12/2017,20:56,D170039646A,305 BUCK CREEK BLVD,SE30,191050.12,1614792.3
27775,27775,235,Over 200$,4/15/2017,12:00,D170056816A,335 W 9TH ST,DT10,188171.67,1650635.57
27776,27776,235,Over 200$,4/15/2017,15:30,D170040958A,2011 N MERIDIAN ST,NE10,190324.15,1656003.77
27777,27777,235,Over 200$,4/16/2017,21:12,D170041122A,101 W MARYLAND ST,DT35,189391.2,1645681.96
27778,27778,235,Over 200$,4/19/2017,16:30,D170042792A,906 WOODRUFF PL MIDDLE DR,NE20,198166.64,1650890.65
27779,27779,235,Over 200$,4/24/2017,11:03,D170044546A,4107 W 30TH ST,NW20,169627.97,1661694.73
27780,27780,235,Over 200$,4/26/2017,10:00,D170045318A,1051 BROOKS ST,NW10,185698.48,1651525.67
27781,27781,235,Over 200$,5/2/2017,22:00,D170047955A,527 N KEYSTONE AVE,NE20,200319.62,1649219.43
27782,27782,235,Over 200$,5/10/2017,19:00,D170054659A,335 W 9TH ST,DT10,188171.67,1650635.57
27783,27783,235,Over 200$,5/13/2017,12:45,D170051913A,437 N ILLINOIS ST,DT10,189666.37,1648654.15
27784,27784,235,Over 200$,5/15/2017,9:57,D170052550A,805 LOCKEFIELD ST,DT10,185873.14,1650294.9
27785,27785,235,Over 200$,5/15/2017,22:30,D170052902A,3333 BOULEVARD PL,ND15,188452.6,1664070.64
27786,27786,235,Over 200$,5/17/2017,18:00,D170054033A,820 CAMP ST,DT10,186513.57,1650474.13
27787,27787,235,Over 200$,5/22/2017,0:01,D170056173A,335 W 9TH ST,DT10,188171.67,1650635.57
27788,27788,235,Over 200$,5/22/2017,19:08,D170055919A,3576 N NORFOLK ST,NW30,162722.54,1665901.4
27789,27789,235,Over 200$,5/22/2017,19:24,D170056432A,335 W 9TH ST,DT10,188171.67,1650635.57
27790,27790,235,Over 200$,5/23/2017,13:57,D170056235A,801 W WASHINGTON ST,DT30,186560.71,1645781.57
27791,27791,235,Over 200$,5/23/2017,17:00,D170056561A,310 W MICHIGAN ST,DT10,188405.42,1649042.14
27792,27792,235,Over 200$,5/23/2017,19:39,D170056413A,450 E OHIO ST,DT20,192370.58,1647217.97
27793,27793,235,Over 200$,5/23/2017,22:00,D170056815A,825 W WALNUT ST,DT10,185827.9,1649936.66
27794,27794,235,Over 200$,5/24/2017,13:58,D170056724A,429 N PENNSYLVANIA ST,DT20,190675.28,1648552.71
27795,27795,235,Over 200$,5/26/2017,7:30,D170057685A,705 LOCKEFIELD ST,DT10,186321.47,1649950.13
27796,27796,235,Over 200$,5/26/2017,16:23,D170057648A,1 S CAPITOL AVE,DT30,188960.44,1646236.36
27797,27797,235,Over 200$,5/29/2017,18:13,D170058837A,3120 HART DR,NW30,165286.13,1662616.65
27798,27798,235,Over 200$,5/31/2017,7:00,D170059732A,664 E 11TH ST,DT20,193566.47,1651598.14
27799,27799,235,Over 200$,5/31/2017,18:02,D170059770A,1510 STADIUM WAY,NW10,181210.36,1653745.92
27800,27800,235,Over 200$,6/1/2017,0:00,D170085332A,7728 WYCKFORD CT,SW80,150619.34,1649704.17
27801,27801,235,Over 200$,6/3/2017,23:00,D170061383A,821 N HAMILTON AVE,NE25,199379.15,1650409.14
27802,27802,235,Over 200$,6/7/2017,14:58,D170062758A,50 E THOMPSON RD,SE30,190095.45,1619366.75
27803,27803,235,Over 200$,6/7/2017,20:44,D170062877A,1402 N HIGH SCHOOL RD,NW70,158865.8,1652746.37
