,Humidity%,DATE_year,DATE_month,DATE_day,Hour
1,76.0,2012,10,1,13
2,76.0,2012,10,1,14
3,76.0,2012,10,1,15
4,76.0,2012,10,1,16
5,76.0,2012,10,1,17
6,76.0,2012,10,1,18
7,76.0,2012,10,1,19
8,76.0,2012,10,1,20
9,76.0,2012,10,1,21
10,76.0,2012,10,1,22
11,76.0,2012,10,1,23
12,76.0,2012,10,2,0
13,76.0,2012,10,2,1
14,76.0,2012,10,2,2
15,76.0,2012,10,2,3
16,76.0,2012,10,2,4
17,76.0,2012,10,2,5
18,76.0,2012,10,2,6
19,76.0,2012,10,2,7
20,76.0,2012,10,2,8
21,76.0,2012,10,2,9
22,76.0,2012,10,2,10
23,76.0,2012,10,2,11
24,76.0,2012,10,2,12
25,76.0,2012,10,2,13
26,76.0,2012,10,2,14
27,71.0,2012,10,2,15
28,71.0,2012,10,2,16
29,65.0,2012,10,2,17
30,59.0,2012,10,2,18
31,59.0,2012,10,2,19
32,77.0,2012,10,2,20
33,82.0,2012,10,2,21
34,87.0,2012,10,2,22
35,87.0,2012,10,2,23
36,87.0,2012,10,3,0
37,82.0,2012,10,3,1
38,87.0,2012,10,3,2
39,87.0,2012,10,3,3
40,93.0,2012,10,3,4
41,93.0,2012,10,3,5
42,93.0,2012,10,3,6
43,93.0,2012,10,3,7
44,96.0,2012,10,3,8
45,100.0,2012,10,3,9
46,100.0,2012,10,3,10
47,100.0,2012,10,3,11
48,100.0,2012,10,3,12
49,93.0,2012,10,3,13
50,93.0,2012,10,3,14
51,95.0,2012,10,3,15
52,97.0,2012,10,3,16
53,100.0,2012,10,3,17
54,93.0,2012,10,3,18
55,87.0,2012,10,3,19
56,93.0,2012,10,3,20
57,93.0,2012,10,3,21
58,93.0,2012,10,3,22
59,93.0,2012,10,3,23
60,93.0,2012,10,4,0
61,93.0,2012,10,4,1
62,87.0,2012,10,4,2
63,93.0,2012,10,4,3
64,93.0,2012,10,4,4
65,93.0,2012,10,4,5
66,93.0,2012,10,4,6
67,93.0,2012,10,4,7
68,93.0,2012,10,4,8
69,93.0,2012,10,4,9
70,93.0,2012,10,4,10
71,93.0,2012,10,4,11
72,93.0,2012,10,4,12
73,93.0,2012,10,4,13
74,100.0,2012,10,4,14
75,93.0,2012,10,4,15
76,82.0,2012,10,4,16
77,77.0,2012,10,4,17
78,63.0,2012,10,4,18
79,68.0,2012,10,4,19
80,56.0,2012,10,4,20
81,60.0,2012,10,4,21
82,52.0,2012,10,4,22
83,68.0,2012,10,4,23
84,63.0,2012,10,5,0
85,67.0,2012,10,5,1
86,67.0,2012,10,5,2
87,72.0,2012,10,5,3
88,72.0,2012,10,5,4
89,77.0,2012,10,5,5
90,76.0,2012,10,5,6
91,78.0,2012,10,5,7
92,81.0,2012,10,5,8
93,84.0,2012,10,5,9
94,87.0,2012,10,5,10
95,87.0,2012,10,5,11
96,82.0,2012,10,5,12
97,82.0,2012,10,5,13
98,77.0,2012,10,5,14
99,72.0,2012,10,5,15
100,64.0,2012,10,5,16
101,53.0,2012,10,5,17
102,47.0,2012,10,5,18
103,47.0,2012,10,5,19
104,39.0,2012,10,5,20
105,47.0,2012,10,5,21
106,41.0,2012,10,5,22
107,44.0,2012,10,5,23
108,68.0,2012,10,6,0
109,72.0,2012,10,6,1
110,63.0,2012,10,6,2
111,77.0,2012,10,6,3
112,77.0,2012,10,6,4
113,77.0,2012,10,6,5
114,87.0,2012,10,6,6
115,76.0,2012,10,6,7
116,84.0,2012,10,6,8
117,93.0,2012,10,6,9
118,76.0,2012,10,6,10
119,81.0,2012,10,6,11
120,81.0,2012,10,6,12
121,81.0,2012,10,6,13
122,87.0,2012,10,6,14
123,93.0,2012,10,6,15
124,100.0,2012,10,6,16
125,100.0,2012,10,6,17
126,93.0,2012,10,6,18
127,93.0,2012,10,6,19
128,93.0,2012,10,6,20
129,87.0,2012,10,6,21
130,87.0,2012,10,6,22
131,93.0,2012,10,6,23
132,93.0,2012,10,7,0
133,93.0,2012,10,7,1
134,93.0,2012,10,7,2
135,90.0,2012,10,7,3
136,87.0,2012,10,7,4
137,100.0,2012,10,7,5
138,96.0,2012,10,7,6
139,93.0,2012,10,7,7
140,93.0,2012,10,7,8
141,93.0,2012,10,7,9
142,93.0,2012,10,7,10
143,93.0,2012,10,7,11
144,86.0,2012,10,7,12
145,78.0,2012,10,7,13
146,70.0,2012,10,7,14
147,65.0,2012,10,7,15
148,61.0,2012,10,7,16
149,61.0,2012,10,7,17
150,53.0,2012,10,7,18
151,53.0,2012,10,7,19
152,53.0,2012,10,7,20
153,53.0,2012,10,7,21
154,57.0,2012,10,7,22
155,61.0,2012,10,7,23
156,61.0,2012,10,8,0
157,61.0,2012,10,8,1
158,61.0,2012,10,8,2
159,70.0,2012,10,8,3
160,75.0,2012,10,8,4
161,70.0,2012,10,8,5
162,70.0,2012,10,8,6
163,70.0,2012,10,8,7
164,75.0,2012,10,8,8
165,75.0,2012,10,8,9
166,77.0,2012,10,8,10
167,80.0,2012,10,8,11
168,80.0,2012,10,8,12
169,80.0,2012,10,8,13
170,70.0,2012,10,8,14
171,70.0,2012,10,8,15
172,57.0,2012,10,8,16
173,28.0,2012,10,8,17
175,49.0,2012,10,8,19
176,45.0,2012,10,8,20
177,49.0,2012,10,8,21
178,50.0,2012,10,8,22
179,52.0,2012,10,8,23
180,60.0,2012,10,9,0
181,58.0,2012,10,9,1
182,56.0,2012,10,9,2
191,86.0,2012,10,9,11
192,86.0,2012,10,9,12
193,80.0,2012,10,9,13
194,75.0,2012,10,9,14
195,49.0,2012,10,9,15
196,49.0,2012,10,9,16
197,43.0,2012,10,9,17
198,40.0,2012,10,9,18
199,40.0,2012,10,9,19
201,40.0,2012,10,9,21
203,30.0,2012,10,9,23
204,61.0,2012,10,10,0
208,37.0,2012,10,10,4
209,75.0,2012,10,10,5
210,77.0,2012,10,10,6
211,80.0,2012,10,10,7
212,80.0,2012,10,10,8
213,83.0,2012,10,10,9
214,86.0,2012,10,10,10
215,86.0,2012,10,10,11
217,75.0,2012,10,10,13
218,66.0,2012,10,10,14
219,54.0,2012,10,10,15
220,51.0,2012,10,10,16
221,48.0,2012,10,10,17
222,44.0,2012,10,10,18
223,42.0,2012,10,10,19
224,42.0,2012,10,10,20
225,42.0,2012,10,10,21
226,47.0,2012,10,10,22
227,52.0,2012,10,10,23
228,52.0,2012,10,11,0
229,52.0,2012,10,11,1
230,52.0,2012,10,11,2
231,52.0,2012,10,11,3
232,52.0,2012,10,11,4
233,57.0,2012,10,11,5
234,62.0,2012,10,11,6
235,71.0,2012,10,11,7
236,81.0,2012,10,11,8
237,87.0,2012,10,11,9
238,84.0,2012,10,11,10
239,81.0,2012,10,11,11
240,75.0,2012,10,11,12
241,75.0,2012,10,11,13
242,75.0,2012,10,11,14
243,69.0,2012,10,11,15
244,63.0,2012,10,11,16
245,58.0,2012,10,11,17
246,52.0,2012,10,11,18
