,Pressure(atm),DATE_year,DATE_month,DATE_day,Hour
1,1011.0,2012,10,1,13
2,1011.0,2012,10,1,14
3,1011.0,2012,10,1,15
4,1011.0,2012,10,1,16
5,1011.0,2012,10,1,17
6,1011.0,2012,10,1,18
7,1011.0,2012,10,1,19
8,1011.0,2012,10,1,20
9,1011.0,2012,10,1,21
10,1011.0,2012,10,1,22
11,1011.0,2012,10,1,23
12,1011.0,2012,10,2,0
13,1011.0,2012,10,2,1
14,1011.0,2012,10,2,2
15,1011.0,2012,10,2,3
16,1011.0,2012,10,2,4
17,1011.0,2012,10,2,5
18,1011.0,2012,10,2,6
19,1011.0,2012,10,2,7
20,1011.0,2012,10,2,8
21,1011.0,2012,10,2,9
22,1011.0,2012,10,2,10
23,1011.0,2012,10,2,11
24,1011.0,2012,10,2,12
25,1011.0,2012,10,2,13
26,1011.0,2012,10,2,14
27,1011.0,2012,10,2,15
28,1010.0,2012,10,2,16
29,1009.0,2012,10,2,17
30,1009.0,2012,10,2,18
31,1008.0,2012,10,2,19
32,1008.0,2012,10,2,20
33,1007.0,2012,10,2,21
34,1007.0,2012,10,2,22
35,1007.0,2012,10,2,23
36,1007.0,2012,10,3,0
37,1007.0,2012,10,3,1
38,1007.0,2012,10,3,2
39,1007.0,2012,10,3,3
40,1006.0,2012,10,3,4
41,1006.0,2012,10,3,5
42,1007.0,2012,10,3,6
43,1005.0,2012,10,3,7
44,1005.0,2012,10,3,8
45,1006.0,2012,10,3,9
46,1006.0,2012,10,3,10
47,1006.0,2012,10,3,11
48,1006.0,2012,10,3,12
49,1007.0,2012,10,3,13
50,1007.0,2012,10,3,14
51,1007.0,2012,10,3,15
52,1007.0,2012,10,3,16
53,1008.0,2012,10,3,17
54,1008.0,2012,10,3,18
55,1008.0,2012,10,3,19
56,1008.0,2012,10,3,20
57,1008.0,2012,10,3,21
58,1008.0,2012,10,3,22
59,1009.0,2012,10,3,23
60,1011.0,2012,10,4,0
61,1011.0,2012,10,4,1
62,1012.0,2012,10,4,2
63,1012.0,2012,10,4,3
64,1012.0,2012,10,4,4
65,1012.0,2012,10,4,5
66,1013.0,2012,10,4,6
67,1013.0,2012,10,4,7
68,1013.0,2012,10,4,8
69,1014.0,2012,10,4,9
70,1015.0,2012,10,4,10
71,1015.0,2012,10,4,11
72,1016.0,2012,10,4,12
73,1016.0,2012,10,4,13
74,1017.0,2012,10,4,14
75,1017.0,2012,10,4,15
76,1017.0,2012,10,4,16
77,1017.0,2012,10,4,17
78,1017.0,2012,10,4,18
79,1017.0,2012,10,4,19
80,1017.0,2012,10,4,20
81,1017.0,2012,10,4,21
82,1017.0,2012,10,4,22
83,1017.0,2012,10,4,23
84,1018.0,2012,10,5,0
85,1018.0,2012,10,5,1
86,1019.0,2012,10,5,2
87,1019.0,2012,10,5,3
88,1019.0,2012,10,5,4
89,1020.0,2012,10,5,5
90,1020.0,2012,10,5,6
91,1020.0,2012,10,5,7
92,1020.0,2012,10,5,8
93,1020.0,2012,10,5,9
94,1020.0,2012,10,5,10
95,1021.0,2012,10,5,11
96,1021.0,2012,10,5,12
97,1021.0,2012,10,5,13
98,1021.0,2012,10,5,14
99,1022.0,2012,10,5,15
100,1022.0,2012,10,5,16
101,1021.0,2012,10,5,17
102,1021.0,2012,10,5,18
103,1020.0,2012,10,5,19
104,1020.0,2012,10,5,20
105,1020.0,2012,10,5,21
106,1020.0,2012,10,5,22
107,1019.0,2012,10,5,23
108,1020.0,2012,10,6,0
109,1020.0,2012,10,6,1
110,1020.0,2012,10,6,2
111,1020.0,2012,10,6,3
112,1020.0,2012,10,6,4
113,1020.0,2012,10,6,5
114,1020.0,2012,10,6,6
115,1021.0,2012,10,6,7
116,1021.0,2012,10,6,8
117,1021.0,2012,10,6,9
118,1021.0,2012,10,6,10
119,1021.0,2012,10,6,11
120,1022.0,2012,10,6,12
121,1021.0,2012,10,6,13
122,1021.0,2012,10,6,14
123,1022.0,2012,10,6,15
124,1021.0,2012,10,6,16
125,1020.0,2012,10,6,17
126,1020.0,2012,10,6,18
127,1019.0,2012,10,6,19
128,1019.0,2012,10,6,20
129,1018.0,2012,10,6,21
130,1019.0,2012,10,6,22
131,1020.0,2012,10,6,23
132,1020.0,2012,10,7,0
133,1020.0,2012,10,7,1
134,1019.0,2012,10,7,2
135,1019.0,2012,10,7,3
136,1019.0,2012,10,7,4
137,1019.0,2012,10,7,5
138,1019.0,2012,10,7,6
139,1019.0,2012,10,7,7
140,1019.0,2012,10,7,8
141,1019.0,2012,10,7,9
142,1019.0,2012,10,7,10
