,Indianapolis,DATE_year,DATE_month,DATE_day,Hour
1,283.85,2012,10,1,13
2,283.88939389999996,2012,10,1,14
3,283.9419192,2012,10,1,15
4,283.99444439999996,2012,10,1,16
5,284.0469697,2012,10,1,17
6,284.09949489999997,2012,10,1,18
7,284.1520202,2012,10,1,19
8,284.2045455,2012,10,1,20
9,284.2570707,2012,10,1,21
10,284.309596,2012,10,1,22
11,284.3621212,2012,10,1,23
12,284.4146465,2012,10,2,0
13,284.4671717,2012,10,2,1
14,284.519697,2012,10,2,2
15,284.5722222,2012,10,2,3
16,284.6247475,2012,10,2,4
17,284.6772727,2012,10,2,5
18,284.729798,2012,10,2,6
19,284.7823232,2012,10,2,7
20,284.83484849999996,2012,10,2,8
21,284.88737369999996,2012,10,2,9
22,284.939899,2012,10,2,10
23,284.9924242,2012,10,2,11
24,285.04494950000003,2012,10,2,12
25,285.0974747,2012,10,2,13
26,285.15,2012,10,2,14
27,286.47,2012,10,2,15
28,287.47,2012,10,2,16
29,288.665,2012,10,2,17
30,289.86,2012,10,2,18
31,290.15,2012,10,2,19
32,289.45,2012,10,2,20
33,288.45,2012,10,2,21
34,287.45,2012,10,2,22
35,287.15,2012,10,2,23
36,286.56,2012,10,3,0
37,286.56,2012,10,3,1
38,286.15,2012,10,3,2
39,285.86,2012,10,3,3
40,285.15,2012,10,3,4
41,285.005,2012,10,3,5
42,284.86,2012,10,3,6
43,285.15,2012,10,3,7
44,285.15,2012,10,3,8
45,285.15,2012,10,3,9
46,285.15,2012,10,3,10
47,285.15,2012,10,3,11
48,285.15,2012,10,3,12
49,285.56,2012,10,3,13
50,285.86,2012,10,3,14
51,286.1933333,2012,10,3,15
52,286.52666669999996,2012,10,3,16
53,286.86,2012,10,3,17
54,287.86,2012,10,3,18
55,288.56,2012,10,3,19
56,288.56,2012,10,3,20
57,289.44,2012,10,3,21
58,289.295,2012,10,3,22
59,289.15,2012,10,3,23
60,289.15,2012,10,4,0
61,289.15,2012,10,4,1
62,288.86,2012,10,4,2
63,288.45,2012,10,4,3
64,287.45,2012,10,4,4
65,287.15,2012,10,4,5
66,287.15,2012,10,4,6
67,287.005,2012,10,4,7
68,286.86,2012,10,4,8
69,286.655,2012,10,4,9
70,286.45,2012,10,4,10
71,286.45,2012,10,4,11
72,286.45,2012,10,4,12
73,286.45,2012,10,4,13
74,286.45,2012,10,4,14
75,286.86,2012,10,4,15
76,288.85,2012,10,4,16
77,290.45,2012,10,4,17
78,291.27,2012,10,4,18
79,291.86,2012,10,4,19
80,293.31,2012,10,4,20
81,293.45,2012,10,4,21
82,293.37,2012,10,4,22
83,291.82,2012,10,4,23
84,289.74,2012,10,5,0
85,288.98,2012,10,5,1
86,288.7,2012,10,5,2
87,288.53,2012,10,5,3
88,288.12,2012,10,5,4
89,287.61,2012,10,5,5
90,286.86,2012,10,5,6
91,286.405,2012,10,5,7
92,285.95,2012,10,5,8
93,285.455,2012,10,5,9
94,284.96,2012,10,5,10
95,285.29,2012,10,5,11
96,286.22,2012,10,5,12
97,287.27,2012,10,5,13
98,290.01,2012,10,5,14
99,293.43,2012,10,5,15
100,295.7,2012,10,5,16
101,296.07,2012,10,5,17
102,296.99,2012,10,5,18
103,297.39,2012,10,5,19
104,297.52,2012,10,5,20
105,297.04,2012,10,5,21
106,297.28,2012,10,5,22
107,296.33,2012,10,5,23
108,293.21,2012,10,6,0
109,292.51,2012,10,6,1
110,292.22,2012,10,6,2
111,291.66,2012,10,6,3
112,290.9,2012,10,6,4
113,290.0,2012,10,6,5
114,288.53,2012,10,6,6
115,287.97,2012,10,6,7
116,286.515,2012,10,6,8
117,285.06,2012,10,6,9
118,284.64,2012,10,6,10
119,284.5,2012,10,6,11
120,284.16,2012,10,6,12
121,283.66,2012,10,6,13
122,282.91,2012,10,6,14
123,282.33,2012,10,6,15
124,281.76,2012,10,6,16
125,281.64,2012,10,6,17
126,282.1,2012,10,6,18
127,281.88,2012,10,6,19
128,281.15,2012,10,6,20
129,280.86,2012,10,6,21
130,279.15,2012,10,6,22
131,278.15,2012,10,6,23
132,278.15,2012,10,7,0
133,278.15,2012,10,7,1
134,278.15,2012,10,7,2
135,278.355,2012,10,7,3
136,278.56,2012,10,7,4
137,277.44,2012,10,7,5
138,276.795,2012,10,7,6
139,276.15,2012,10,7,7
140,276.15,2012,10,7,8
141,275.44,2012,10,7,9
142,275.145,2012,10,7,10
143,274.85,2012,10,7,11
144,275.56,2012,10,7,12
145,277.06,2012,10,7,13
146,278.56,2012,10,7,14
147,279.86,2012,10,7,15
148,280.86,2012,10,7,16
149,281.86,2012,10,7,17
150,283.86,2012,10,7,18
151,283.86,2012,10,7,19
152,283.86,2012,10,7,20
153,282.86,2012,10,7,21
154,282.505,2012,10,7,22
155,282.15,2012,10,7,23
156,280.85,2012,10,8,0
157,280.705,2012,10,8,1
158,280.56,2012,10,8,2
159,279.54,2012,10,8,3
160,278.54,2012,10,8,4
161,278.54,2012,10,8,5
162,278.85,2012,10,8,6
163,278.56,2012,10,8,7
164,277.85,2012,10,8,8
165,277.56,2012,10,8,9
166,277.355,2012,10,8,10
167,277.15,2012,10,8,11
168,277.15,2012,10,8,12
169,277.15,2012,10,8,13
170,278.56,2012,10,8,14
171,279.86,2012,10,8,15
172,281.83,2012,10,8,16
173,281.845,2012,10,8,17
174,281.86,2012,10,8,18
175,281.86,2012,10,8,19
176,281.86,2012,10,8,20
177,281.15,2012,10,8,21
178,281.0,2012,10,8,22
179,280.85,2012,10,8,23
180,278.56,2012,10,9,0
181,277.81,2012,10,9,1
182,277.06,2012,10,9,2
183,274.54,2012,10,9,3
184,274.36,2012,10,9,4
185,274.155,2012,10,9,5
186,273.95,2012,10,9,6
187,273.7533333,2012,10,9,7
188,273.5566667,2012,10,9,8
189,273.36,2012,10,9,9
190,273.36,2012,10,9,10
191,272.95,2012,10,9,11
192,274.95,2012,10,9,12
193,276.91,2012,10,9,13
194,278.87,2012,10,9,14
195,282.45,2012,10,9,15
196,282.45,2012,10,9,16
197,283.57,2012,10,9,17
198,285.16,2012,10,9,18
199,285.45,2012,10,9,19
200,285.86,2012,10,9,20
201,285.45,2012,10,9,21
202,283.74,2012,10,9,22
203,281.545,2012,10,9,23
204,279.35,2012,10,10,0
205,278.76,2012,10,10,1
206,277.91,2012,10,10,2
207,277.06,2012,10,10,3
208,276.56,2012,10,10,4
209,276.06,2012,10,10,5
210,275.86,2012,10,10,6
211,275.66,2012,10,10,7
212,275.36,2012,10,10,8
213,274.755,2012,10,10,9
214,274.15,2012,10,10,10
215,275.56,2012,10,10,11
216,275.26,2012,10,10,12
217,278.16,2012,10,10,13
218,281.87,2012,10,10,14
219,285.78,2012,10,10,15
220,287.465,2012,10,10,16
221,289.15,2012,10,10,17
222,289.16,2012,10,10,18
223,289.86,2012,10,10,19
224,289.86,2012,10,10,20
225,289.86,2012,10,10,21
226,288.73,2012,10,10,22
227,287.6,2012,10,10,23
228,287.6,2012,10,11,0
229,287.6,2012,10,11,1
230,287.6,2012,10,11,2
231,287.6,2012,10,11,3
232,287.6,2012,10,11,4
233,286.375,2012,10,11,5
234,285.15,2012,10,11,6
235,283.355,2012,10,11,7
236,281.56,2012,10,11,8
237,280.56,2012,10,11,9
238,280.205,2012,10,11,10
239,279.85,2012,10,11,11
240,279.56,2012,10,11,12
241,279.91,2012,10,11,13
242,280.26,2012,10,11,14
243,280.70799999999997,2012,10,11,15
244,281.156,2012,10,11,16
245,281.60400000000004,2012,10,11,17
246,282.052,2012,10,11,18
247,282.5,2012,10,11,19
248,283.86,2012,10,11,20
249,283.71,2012,10,11,21
250,283.56,2012,10,11,22
251,279.74,2012,10,11,23
252,279.045,2012,10,12,0
253,278.35,2012,10,12,1
254,276.64,2012,10,12,2
