,wind,DATE_year,DATE_month,DATE_day,Hour
1,4.0,2012,10,1,13
2,4.0,2012,10,1,14
3,4.0,2012,10,1,15
4,4.0,2012,10,1,16
5,4.0,2012,10,1,17
6,4.0,2012,10,1,18
7,4.0,2012,10,1,19
8,4.0,2012,10,1,20
9,4.0,2012,10,1,21
10,4.0,2012,10,1,22
11,4.0,2012,10,1,23
12,4.0,2012,10,2,0
13,4.0,2012,10,2,1
14,4.0,2012,10,2,2
15,4.0,2012,10,2,3
16,4.0,2012,10,2,4
17,4.0,2012,10,2,5
18,4.0,2012,10,2,6
19,4.0,2012,10,2,7
20,4.0,2012,10,2,8
21,4.0,2012,10,2,9
22,4.0,2012,10,2,10
23,4.0,2012,10,2,11
24,5.0,2012,10,2,12
25,5.0,2012,10,2,13
26,5.0,2012,10,2,14
27,5.0,2012,10,2,15
28,3.0,2012,10,2,16
29,4.0,2012,10,2,17
30,4.0,2012,10,2,18
31,3.0,2012,10,2,19
32,3.0,2012,10,2,20
33,3.0,2012,10,2,21
34,3.0,2012,10,2,22
35,4.0,2012,10,2,23
36,4.0,2012,10,3,0
37,7.0,2012,10,3,1
38,6.0,2012,10,3,2
39,6.0,2012,10,3,3
40,5.0,2012,10,3,4
41,5.0,2012,10,3,5
42,5.0,2012,10,3,6
43,8.0,2012,10,3,7
44,8.0,2012,10,3,8
45,8.0,2012,10,3,9
46,6.0,2012,10,3,10
47,6.0,2012,10,3,11
48,6.0,2012,10,3,12
49,6.0,2012,10,3,13
50,5.0,2012,10,3,14
51,5.0,2012,10,3,15
52,4.0,2012,10,3,16
53,3.0,2012,10,3,17
54,3.0,2012,10,3,18
55,4.0,2012,10,3,19
56,3.0,2012,10,3,20
57,3.0,2012,10,3,21
58,1.0,2012,10,3,22
59,0.0,2012,10,3,23
60,1.0,2012,10,4,0
61,2.0,2012,10,4,1
62,3.0,2012,10,4,2
63,4.0,2012,10,4,3
64,3.0,2012,10,4,4
65,3.0,2012,10,4,5
66,2.0,2012,10,4,6
67,3.0,2012,10,4,7
68,5.0,2012,10,4,8
69,4.0,2012,10,4,9
70,4.0,2012,10,4,10
71,4.0,2012,10,4,11
72,4.0,2012,10,4,12
73,4.0,2012,10,4,13
74,4.0,2012,10,4,14
75,6.0,2012,10,4,15
76,5.0,2012,10,4,16
77,7.0,2012,10,4,17
78,5.0,2012,10,4,18
79,5.0,2012,10,4,19
80,7.0,2012,10,4,20
81,4.0,2012,10,4,21
82,4.0,2012,10,4,22
83,3.0,2012,10,4,23
84,3.0,2012,10,5,0
85,4.0,2012,10,5,1
86,5.0,2012,10,5,2
87,4.0,2012,10,5,3
88,4.0,2012,10,5,4
89,3.0,2012,10,5,5
90,2.0,2012,10,5,6
91,2.0,2012,10,5,7
92,1.0,2012,10,5,8
93,2.0,2012,10,5,9
94,2.0,2012,10,5,10
95,2.0,2012,10,5,11
96,2.0,2012,10,5,12
97,2.0,2012,10,5,13
98,3.0,2012,10,5,14
99,5.0,2012,10,5,15
100,5.0,2012,10,5,16
101,4.0,2012,10,5,17
102,5.0,2012,10,5,18
103,4.0,2012,10,5,19
104,6.0,2012,10,5,20
105,5.0,2012,10,5,21
106,5.0,2012,10,5,22
107,3.0,2012,10,5,23
108,3.0,2012,10,6,0
109,4.0,2012,10,6,1
110,2.0,2012,10,6,2
111,3.0,2012,10,6,3
112,3.0,2012,10,6,4
113,3.0,2012,10,6,5
114,3.0,2012,10,6,6
115,1.0,2012,10,6,7
116,2.0,2012,10,6,8
117,4.0,2012,10,6,9
118,4.0,2012,10,6,10
119,2.0,2012,10,6,11
120,3.0,2012,10,6,12
121,4.0,2012,10,6,13
122,0.0,2012,10,6,14
123,3.0,2012,10,6,15
124,2.0,2012,10,6,16
125,3.0,2012,10,6,17
126,3.0,2012,10,6,18
127,4.0,2012,10,6,19
128,4.0,2012,10,6,20
129,5.0,2012,10,6,21
130,6.0,2012,10,6,22
131,6.0,2012,10,6,23
132,5.0,2012,10,7,0
133,5.0,2012,10,7,1
134,2.0,2012,10,7,2
135,2.0,2012,10,7,3
