,Description,DATE_year,DATE_month,DATE_day,Hour
0,overcast clouds,2012,10,1,13
1,overcast clouds,2012,10,1,14
2,overcast clouds,2012,10,1,15
3,overcast clouds,2012,10,1,16
4,overcast clouds,2012,10,1,17
5,overcast clouds,2012,10,1,18
6,overcast clouds,2012,10,1,19
7,overcast clouds,2012,10,1,20
8,overcast clouds,2012,10,1,21
9,overcast clouds,2012,10,1,22
10,overcast clouds,2012,10,1,23
11,overcast clouds,2012,10,2,0
12,overcast clouds,2012,10,2,1
13,overcast clouds,2012,10,2,2
14,overcast clouds,2012,10,2,3
15,overcast clouds,2012,10,2,4
16,overcast clouds,2012,10,2,5
17,overcast clouds,2012,10,2,6
18,overcast clouds,2012,10,2,7
19,overcast clouds,2012,10,2,8
20,overcast clouds,2012,10,2,9
21,overcast clouds,2012,10,2,10
22,overcast clouds,2012,10,2,11
23,overcast clouds,2012,10,2,12
24,overcast clouds,2012,10,2,13
25,overcast clouds,2012,10,2,14
26,overcast clouds,2012,10,2,15
27,overcast clouds,2012,10,2,16
28,broken clouds,2012,10,2,17
29,broken clouds,2012,10,2,18
30,overcast clouds,2012,10,2,19
31,light rain,2012,10,2,20
32,overcast clouds,2012,10,2,21
33,moderate rain,2012,10,2,22
34,moderate rain,2012,10,2,23
35,moderate rain,2012,10,3,0
36,light intensity drizzle,2012,10,3,1
37,light intensity drizzle,2012,10,3,2
38,light rain,2012,10,3,3
39,heavy intensity rain,2012,10,3,4
40,overcast clouds,2012,10,3,5
41,heavy intensity rain,2012,10,3,6
42,mist,2012,10,3,7
43,overcast clouds,2012,10,3,8
44,mist,2012,10,3,9
45,mist,2012,10,3,10
46,overcast clouds,2012,10,3,11
47,drizzle,2012,10,3,12
48,drizzle,2012,10,3,13
49,drizzle,2012,10,3,14
50,overcast clouds,2012,10,3,15
51,overcast clouds,2012,10,3,16
52,light rain,2012,10,3,17
53,mist,2012,10,3,18
54,drizzle,2012,10,3,19
55,mist,2012,10,3,20
56,mist,2012,10,3,21
57,overcast clouds,2012,10,3,22
58,mist,2012,10,3,23
59,light rain,2012,10,4,0
60,mist,2012,10,4,1
61,mist,2012,10,4,2
62,mist,2012,10,4,3
63,mist,2012,10,4,4
64,mist,2012,10,4,5
65,mist,2012,10,4,6
66,broken clouds,2012,10,4,7
67,overcast clouds,2012,10,4,8
68,overcast clouds,2012,10,4,9
69,overcast clouds,2012,10,4,10
70,mist,2012,10,4,11
71,mist,2012,10,4,12
72,mist,2012,10,4,13
73,mist,2012,10,4,14
74,mist,2012,10,4,15
75,broken clouds,2012,10,4,16
76,overcast clouds,2012,10,4,17
77,broken clouds,2012,10,4,18
78,broken clouds,2012,10,4,19
79,broken clouds,2012,10,4,20
80,broken clouds,2012,10,4,21
81,scattered clouds,2012,10,4,22
82,scattered clouds,2012,10,4,23
83,scattered clouds,2012,10,5,0
84,scattered clouds,2012,10,5,1
85,scattered clouds,2012,10,5,2
86,few clouds,2012,10,5,3
87,few clouds,2012,10,5,4
88,few clouds,2012,10,5,5
89,few clouds,2012,10,5,6
90,scattered clouds,2012,10,5,7
91,scattered clouds,2012,10,5,8
92,scattered clouds,2012,10,5,9
93,few clouds,2012,10,5,10
94,broken clouds,2012,10,5,11
95,broken clouds,2012,10,5,12
96,broken clouds,2012,10,5,13
97,few clouds,2012,10,5,14
98,few clouds,2012,10,5,15
99,sky is clear,2012,10,5,16
100,sky is clear,2012,10,5,17
101,sky is clear,2012,10,5,18
102,scattered clouds,2012,10,5,19
103,scattered clouds,2012,10,5,20
104,scattered clouds,2012,10,5,21
105,scattered clouds,2012,10,5,22
106,sky is clear,2012,10,5,23
107,few clouds,2012,10,6,0
108,few clouds,2012,10,6,1
109,sky is clear,2012,10,6,2
110,few clouds,2012,10,6,3
111,few clouds,2012,10,6,4
112,broken clouds,2012,10,6,5
113,sky is clear,2012,10,6,6
114,scattered clouds,2012,10,6,7
115,broken clouds,2012,10,6,8
116,broken clouds,2012,10,6,9
117,overcast clouds,2012,10,6,10
118,overcast clouds,2012,10,6,11
119,broken clouds,2012,10,6,12
120,overcast clouds,2012,10,6,13
121,thunderstorm,2012,10,6,14
122,proximity thunderstorm,2012,10,6,15
123,moderate rain,2012,10,6,16
124,light rain,2012,10,6,17
125,light rain,2012,10,6,18
126,light rain,2012,10,6,19
127,light rain,2012,10,6,20
128,overcast clouds,2012,10,6,21
129,light rain,2012,10,6,22
130,mist,2012,10,6,23
131,overcast clouds,2012,10,7,0
132,moderate rain,2012,10,7,1
133,light rain,2012,10,7,2
134,overcast clouds,2012,10,7,3
135,overcast clouds,2012,10,7,4
136,broken clouds,2012,10,7,5
137,scattered clouds,2012,10,7,6
138,sky is clear,2012,10,7,7
139,sky is clear,2012,10,7,8
140,sky is clear,2012,10,7,9
141,sky is clear,2012,10,7,10
142,few clouds,2012,10,7,11
143,broken clouds,2012,10,7,12
144,broken clouds,2012,10,7,13
145,broken clouds,2012,10,7,14
146,broken clouds,2012,10,7,15
147,scattered clouds,2012,10,7,16
148,scattered clouds,2012,10,7,17
149,scattered clouds,2012,10,7,18
150,broken clouds,2012,10,7,19
151,broken clouds,2012,10,7,20
152,broken clouds,2012,10,7,21
153,broken clouds,2012,10,7,22
154,overcast clouds,2012,10,7,23
155,overcast clouds,2012,10,8,0
156,overcast clouds,2012,10,8,1
157,overcast clouds,2012,10,8,2
158,overcast clouds,2012,10,8,3
159,overcast clouds,2012,10,8,4
160,overcast clouds,2012,10,8,5
161,overcast clouds,2012,10,8,6
162,overcast clouds,2012,10,8,7
163,overcast clouds,2012,10,8,8
164,overcast clouds,2012,10,8,9
165,overcast clouds,2012,10,8,10
166,overcast clouds,2012,10,8,11
167,overcast clouds,2012,10,8,12
168,overcast clouds,2012,10,8,13
169,overcast clouds,2012,10,8,14
170,overcast clouds,2012,10,8,15
171,overcast clouds,2012,10,8,16
172,overcast clouds,2012,10,8,17
173,overcast clouds,2012,10,8,18
174,overcast clouds,2012,10,8,19
175,overcast clouds,2012,10,8,20
176,broken clouds,2012,10,8,21
177,broken clouds,2012,10,8,22
178,broken clouds,2012,10,8,23
179,few clouds,2012,10,9,0
180,few clouds,2012,10,9,1
181,few clouds,2012,10,9,2
182,sky is clear,2012,10,9,3
183,few clouds,2012,10,9,4
184,scattered clouds,2012,10,9,5
185,scattered clouds,2012,10,9,6
186,scattered clouds,2012,10,9,7
187,scattered clouds,2012,10,9,8
188,few clouds,2012,10,9,9
189,few clouds,2012,10,9,10
190,few clouds,2012,10,9,11
191,light rain,2012,10,9,12
192,sky is clear,2012,10,9,13
193,few clouds,2012,10,9,14
194,few clouds,2012,10,9,15
195,few clouds,2012,10,9,16
196,few clouds,2012,10,9,17
197,few clouds,2012,10,9,18
198,few clouds,2012,10,9,19
199,scattered clouds,2012,10,9,20
200,few clouds,2012,10,9,21
201,sky is clear,2012,10,9,22
202,sky is clear,2012,10,9,23
203,sky is clear,2012,10,10,0
204,sky is clear,2012,10,10,1
205,sky is clear,2012,10,10,2
206,sky is clear,2012,10,10,3
207,sky is clear,2012,10,10,4
208,sky is clear,2012,10,10,5
209,sky is clear,2012,10,10,6
210,sky is clear,2012,10,10,7
211,sky is clear,2012,10,10,8
212,sky is clear,2012,10,10,9
213,sky is clear,2012,10,10,10
214,sky is clear,2012,10,10,11
215,few clouds,2012,10,10,12
216,few clouds,2012,10,10,13
217,few clouds,2012,10,10,14
218,few clouds,2012,10,10,15
219,few clouds,2012,10,10,16
220,few clouds,2012,10,10,17
221,few clouds,2012,10,10,18
