,CRIME,DATE_year,DATE_month,DATE_week,DATE_day,Hour,Minute,Temp(K),Pressure(atm),wind,Humidity%,Description,disposition,Bike Value
0,Over 200$,2012,10,40,4,20,00,293.31,1017.0,7.0,56.0,0,0,1
1,Over 200$,2012,10,40,4,23,00,291.82,1017.0,3.0,68.0,13,2,1
2,Over 200$,2012,10,40,5,0,01,289.74,1018.0,3.0,63.0,13,0,1
3,Over 200$,2012,10,41,10,14,00,281.87,1020.0,2.0,66.0,2,2,1
4,Over 200$,2012,10,42,15,12,30,292.15,1009.0,8.0,82.0,7,0,1
5,Over 200$,2012,10,42,17,21,30,291.65,1007.0,4.0,45.0,14,3,1
6,Over 200$,2012,10,42,19,19,25,288.74,1001.0,6.0,44.0,0,3,1
7,Over 200$,2012,10,42,20,22,20,281.8,1003.0,6.0,93.0,11,0,1
8,Over 200$,2012,10,42,21,13,05,280.56,1008.0,3.0,93.0,11,1,1
9,Over 200$,2012,10,42,21,22,00,285.75,1012.0,4.0,66.0,11,5,1
10,Over 200$,2012,10,43,22,6,45,277.85,1016.0,0.0,93.0,9,0,1
11,Over 200$,2012,10,43,24,18,00,290.52,1017.0,0.0,77.0,0,1,1
12,Over 200$,2012,10,43,25,9,00,288.23,1017.0,2.0,72.0,2,1,1
13,Over 200$,2012,10,43,25,17,00,296.16,1017.0,4.0,60.0,13,0,1
14,Over 200$,2012,11,44,1,0,01,277.51,1007.0,8.0,86.0,1,1,1
15,Over 200$,2012,11,45,6,18,55,279.54,1021.0,3.0,60.0,13,1,1
16,Over 200$,2012,11,46,13,0,01,290.21,1015.0,8.0,51.0,11,3,1
17,Over 200$,2012,11,46,14,17,00,275.48,1033.0,3.0,47.0,14,0,1
18,Over 200$,2012,11,46,14,21,50,277.21,1031.0,2.0,44.0,14,5,1
19,Over 200$,2012,11,47,25,13,00,270.15,1024.0,4.0,68.0,11,0,1
20,Over 200$,2012,11,48,27,0,01,277.78,1014.0,2.0,60.0,11,0,1
21,Over 200$,2012,11,48,28,12,00,270.22,1026.0,2.0,92.0,9,2,1
22,Over 200$,2012,11,48,29,12,30,269.52,1027.0,3.0,79.0,14,1,1
23,Over 200$,2012,11,48,29,13,40,270.63,1028.0,3.0,79.0,4,2,1
24,Over 200$,2012,12,48,1,13,00,277.78,1021.0,3.0,64.0,13,2,1
25,Over 200$,2012,12,49,4,8,00,288.42,1019.0,2.0,100.0,7,0,1
26,Over 200$,2012,12,49,6,17,06,278.07,1029.0,2.0,69.0,13,2,1
27,Over 200$,2012,12,49,7,23,00,281.34,1016.0,2.0,70.0,11,2,1
28,Over 200$,2012,12,50,10,16,00,280.26,1012.0,5.0,100.0,7,0,1
29,Over 200$,2012,12,50,14,18,00,280.32,1027.0,3.0,45.0,13,1,1
30,50$ to 200$,2012,10,40,1,13,00,283.85,1011.0,4.0,76.0,11,1,0
31,50$ to 200$,2012,10,40,4,18,30,291.27,1017.0,5.0,63.0,0,3,0
32,50$ to 200$,2012,10,40,4,22,30,293.37,1017.0,4.0,52.0,13,0,0
33,50$ to 200$,2012,10,40,5,11,00,285.29,1021.0,2.0,87.0,0,0,0
34,50$ to 200$,2012,10,40,5,12,00,286.22,1021.0,2.0,82.0,0,1,0
35,50$ to 200$,2012,10,40,6,10,30,284.64,1021.0,4.0,76.0,11,2,0
36,50$ to 200$,2012,10,40,7,15,00,279.86,1021.0,4.0,65.0,0,5,0
37,50$ to 200$,2012,10,41,8,17,00,281.845,1022.0,4.0,28.0,11,1,0
38,50$ to 200$,2012,10,41,9,0,01,278.56,1022.0,0.0,60.0,2,3,0
39,50$ to 200$,2012,10,41,9,21,00,285.45,1020.0,3.0,40.0,2,0,0
40,50$ to 200$,2012,10,41,12,21,00,287.45,1021.0,6.0,44.0,2,2,0
41,50$ to 200$,2012,10,41,13,11,45,280.86,1026.0,4.0,81.0,2,4,0
42,50$ to 200$,2012,10,41,14,12,00,282.15,1023.0,2.0,66.0,11,5,0
43,50$ to 200$,2012,10,42,15,12,00,292.15,1009.0,8.0,82.0,7,3,0
44,50$ to 200$,2012,10,42,15,18,30,295.505,1005.0,11.0,58.0,0,5,0
45,50$ to 200$,2012,10,42,15,22,00,294.56,1004.0,9.0,56.0,0,5,0
46,50$ to 200$,2012,10,42,16,17,00,286.15,1014.0,5.0,58.0,14,2,0
47,50$ to 200$,2012,10,42,18,4,00,288.39,1007.0,4.0,62.0,0,5,0
48,50$ to 200$,2012,10,42,19,6,30,287.02,998.0,7.0,93.0,7,1,0
49,50$ to 200$,2012,10,42,19,9,00,284.33,998.0,5.0,87.0,7,1,0
50,50$ to 200$,2012,10,42,19,20,30,288.56,1002.0,10.0,31.0,0,5,0
51,50$ to 200$,2012,10,42,20,18,00,281.83,1001.0,5.0,87.0,9,1,0
52,50$ to 200$,2012,10,43,22,12,00,279.54333330000003,1018.0,2.0,92.0,14,5,0
53,50$ to 200$,2012,10,43,24,16,31,288.57,1018.0,0.0,87.0,10,1,0
54,50$ to 200$,2012,10,43,25,0,01,291.12,1015.0,2.0,77.0,11,4,0
55,50$ to 200$,2012,10,43,25,15,35,293.0,1018.0,4.0,68.0,2,4,0
56,50$ to 200$,2012,10,43,25,19,00,298.16,1016.0,5.0,50.0,2,3,0
57,50$ to 200$,2012,10,43,25,19,48,298.16,1016.0,5.0,50.0,2,1,0
58,50$ to 200$,2012,10,43,25,21,30,298.45,1015.0,5.0,47.0,2,1,0
59,50$ to 200$,2012,10,43,26,8,59,289.18,1015.0,3.0,72.0,2,2,0
60,50$ to 200$,2012,10,43,27,13,15,279.56,1023.0,6.0,81.0,11,1,0
61,50$ to 200$,2012,10,43,27,21,00,281.86,1021.0,4.0,66.0,0,1,0
62,50$ to 200$,2012,10,43,28,14,37,280.15,1022.0,7.0,65.0,2,1,0
63,50$ to 200$,2012,10,44,30,17,15,282.45,1019.0,11.0,31.0,2,1,0
64,50$ to 200$,2012,11,44,2,15,32,277.97,1013.0,4.0,48.0,2,5,0
65,50$ to 200$,2012,11,44,2,18,00,283.76,1012.0,6.0,27.0,2,2,0
66,50$ to 200$,2012,11,45,7,21,00,282.93,1014.0,2.0,45.0,11,3,0
67,50$ to 200$,2012,11,45,9,11,10,272.84,1022.0,0.0,100.0,9,4,0
68,50$ to 200$,2012,11,45,10,1,00,276.71,1022.0,3.0,86.0,9,3,0
69,50$ to 200$,2012,11,46,12,11,00,284.33,1002.0,6.0,75.0,14,4,0
70,50$ to 200$,2012,11,46,14,16,00,274.94,1033.0,3.0,64.0,2,0,0
71,50$ to 200$,2012,11,46,14,18,00,276.35,1032.0,2.0,44.0,14,0,0
72,50$ to 200$,2012,11,46,16,0,01,276.18,1029.0,2.0,64.0,0,5,0
73,50$ to 200$,2012,11,46,16,17,40,275.93,1010.0,1.0,64.0,0,2,0
74,50$ to 200$,2012,11,46,17,19,45,282.88,1030.0,0.0,46.0,14,5,0
75,50$ to 200$,2012,11,47,25,18,00,273.4,1024.0,3.0,63.0,0,5,0
76,50$ to 200$,2012,11,48,27,14,20,277.15,1022.0,2.0,64.0,13,0,0
77,50$ to 200$,2012,11,48,29,9,15,269.7,1027.0,2.0,79.0,2,1,0
78,50$ to 200$,2012,12,48,2,11,30,277.25,1022.0,2.0,81.0,9,1,0
79,50$ to 200$,2012,12,49,6,18,38,279.44,1028.0,0.0,56.0,0,4,0
80,50$ to 200$,2012,12,49,7,16,35,277.21,1021.0,3.0,74.0,0,2,0
81,50$ to 200$,2012,12,49,9,2,20,281.88,993.0,3.0,90.0,7,4,0
82,50$ to 200$,2012,12,50,12,19,10,274.46,1001.0,4.0,56.0,14,2,0
83,50$ to 200$,2012,12,50,13,9,47,269.38,1025.0,2.0,79.0,14,4,0
84,50$ to 200$,2012,12,50,15,12,55,272.97,1024.0,2.0,68.0,14,2,0
85,50$ to 200$,2012,12,50,16,5,00,279.05,1020.0,3.0,52.0,11,2,0
86,Under 50$,2012,10,41,11,3,30,287.6,996.0,5.0,52.0,14,5,2
87,Under 50$,2012,10,42,18,14,45,289.08,1006.0,6.0,67.0,13,2,2
88,Under 50$,2012,12,48,2,11,30,277.25,1022.0,2.0,81.0,9,4,2
89,Over 200$,2013,1,2,7,13,21,275.18,1017.0,5.0,80.0,11,2,1
90,Over 200$,2013,1,3,14,12,30,277.15,1012.0,4.0,93.0,1,2,1
91,Over 200$,2013,1,3,16,18,56,271.01,1025.0,5.0,63.0,0,4,1
92,Over 200$,2013,1,4,21,9,00,274.3,1017.0,9.0,57.0,14,3,1
93,Over 200$,2013,1,4,24,13,15,262.95,1026.0,2.0,61.0,11,2,1
94,Over 200$,2013,2,6,5,8,22,263.52,999.0,2.0,93.0,0,1,1
95,Over 200$,2013,2,6,6,0,01,270.2,993.0,3.0,97.0,0,0,1
96,Over 200$,2013,2,7,13,11,30,270.73,1001.0,4.0,78.0,14,4,1
97,Over 200$,2013,2,7,17,19,00,268.27,1019.0,7.0,53.0,0,4,1
98,Over 200$,2013,2,8,20,18,00,269.405,1014.0,10.0,65.0,0,4,1
99,Over 200$,2013,3,10,8,12,00,271.38,1027.0,3.0,86.0,11,3,1
100,Over 200$,2013,3,13,26,0,01,272.1,999.0,5.0,86.0,3,4,1
101,Over 200$,2013,3,13,28,17,00,277.88,1027.0,4.0,59.0,14,3,1
102,Over 200$,2013,4,14,4,0,01,279.47,1024.0,4.0,28.0,13,1,1
103,Over 200$,2013,4,14,7,18,19,288.48,1017.0,7.0,30.0,14,0,1
104,Over 200$,2013,4,16,16,13,00,286.79,1013.0,3.0,67.0,11,0,1
105,Over 200$,2013,4,16,18,7,30,282.51,1022.0,4.0,93.0,9,3,1
106,Over 200$,2013,4,17,22,21,21,285.37,1028.0,4.0,37.0,0,3,1
107,Over 200$,2013,4,17,25,8,30,280.15,1011.0,4.0,93.0,10,0,1
108,Over 200$,2013,4,18,30,16,19,288.88,1016.0,2.0,87.0,11,2,1
109,Over 200$,2013,5,18,1,21,30,300.015,1014.0,4.0,45.0,2,2,1
110,Over 200$,2013,5,18,5,12,00,288.44,1015.0,4.0,54.0,13,3,1
111,Over 200$,2013,5,19,7,22,00,291.785,1013.0,4.0,68.0,0,0,1
112,Over 200$,2013,5,19,8,1,00,290.97,1015.0,3.0,63.0,13,1,1
113,Over 200$,2013,5,19,12,16,45,282.45,1014.0,4.0,81.0,11,1,1
114,Over 200$,2013,5,20,13,14,00,280.96,1019.0,5.0,56.0,14,4,1
115,Over 200$,2013,5,20,13,19,30,285.34,1020.0,7.0,40.0,0,1,1
116,Over 200$,2013,5,20,15,13,00,285.83,1016.0,5.0,43.0,13,0,1
117,Over 200$,2013,5,20,16,12,00,293.93,1011.0,6.0,52.0,14,1,1
118,Over 200$,2013,5,20,16,12,00,293.93,1011.0,6.0,52.0,14,0,1
119,Over 200$,2013,5,20,17,11,02,292.55,1012.0,3.0,77.0,14,1,1
120,Over 200$,2013,5,20,17,18,00,298.59,1015.0,4.0,53.0,11,0,1
121,Over 200$,2013,5,20,18,15,00,296.61,1018.0,0.0,64.0,13,2,1
122,Over 200$,2013,5,20,19,12,00,291.51,1018.0,2.0,93.0,9,1,1
123,Over 200$,2013,5,21,20,7,50,291.12,1014.0,2.0,93.0,9,0,1
124,Over 200$,2013,5,21,21,5,30,296.88,1013.0,2.0,73.0,13,3,1
125,Over 200$,2013,5,21,23,0,01,298.83,1008.0,4.0,50.0,14,4,1
126,Over 200$,2013,5,21,23,9,00,292.42,1008.0,4.0,82.0,11,1,1
127,Over 200$,2013,5,21,23,12,00,291.94,1007.0,5.0,88.0,9,0,1
128,Over 200$,2013,5,21,26,18,00,289.97,1028.0,1.0,38.0,11,4,1
129,Over 200$,2013,5,22,28,23,00,297.74,1014.0,5.0,69.0,11,0,1
130,Over 200$,2013,5,22,29,17,50,298.03,1014.0,7.0,69.0,13,2,1
131,Over 200$,2013,5,22,30,13,00,294.95,1017.0,5.0,60.0,14,0,1
132,Over 200$,2013,5,22,30,16,00,299.01,1017.0,7.0,57.0,14,3,1
133,Over 200$,2013,5,22,30,23,20,301.84,1016.0,6.0,37.0,14,0,1
134,Over 200$,2013,5,22,31,2,00,298.85,1016.0,2.0,60.0,14,0,1
135,Over 200$,2013,6,22,2,20,33,296.0,1010.0,4.0,73.0,0,2,1
136,Over 200$,2013,6,23,4,13,40,284.1,1018.0,2.0,76.0,11,3,1
